observed_date,rank,licensee,assignment_count
2025-07-18,1,ONE NEW ZEALAND GROUP LIMITED,10146
2025-07-18,2,SPARK NEW ZEALAND TRADING LIMITED,8855
2025-07-18,3,TWO DEGREES NETWORKS LIMITED,8638
2025-07-18,4,CHORUS NEW ZEALAND LIMITED,3636
2025-07-18,5,EONFIBRE LIMITED,2022
2025-07-18,6,VITAL LIMITED,1954
2025-07-18,7,KIWIRAIL,1820
2025-07-18,8,KORDIA LIMITED,1514
2025-07-18,9,RURAL CONNECTIVITY GROUP LIMITED,1350
2025-07-18,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-07-18,11,ENTAIN NEW ZEALAND LIMITED,657
2025-07-18,12,LIGHTWIRE LIMITED,648
2025-07-18,13,NZME RADIO LIMITED,602
2025-07-18,14,POWERCO LIMITED,590
2025-07-18,15,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,582
2025-07-18,16,EVERY PERSON,574
2025-07-18,17,ISO LIMITED,552
2025-07-18,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-07-18,19,KIWIRAIL LTD,533
2025-07-18,20,MEDIAWORKS RADIO LIMITED,499
2025-07-18,21,SPACE OPERATIONS NEW ZEALAND LIMITED,499
2025-07-18,22,DEPARTMENT OF CONSERVATION,467
2025-07-18,23,FIRE AND EMERGENCY NEW ZEALAND,445
2025-07-18,24,TAIT SYSTEMS NZ LIMITED,433
2025-07-18,25,ASHLEY COMMUNICATIONS LIMITED,428
2025-07-21,1,ONE NEW ZEALAND GROUP LIMITED,10146
2025-07-21,2,SPARK NEW ZEALAND TRADING LIMITED,8855
2025-07-21,3,TWO DEGREES NETWORKS LIMITED,8638
2025-07-21,4,CHORUS NEW ZEALAND LIMITED,3636
2025-07-21,5,EONFIBRE LIMITED,2022
2025-07-21,6,VITAL LIMITED,1954
2025-07-21,7,KIWIRAIL,1820
2025-07-21,8,KORDIA LIMITED,1514
2025-07-21,9,RURAL CONNECTIVITY GROUP LIMITED,1350
2025-07-21,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-07-21,11,ENTAIN NEW ZEALAND LIMITED,657
2025-07-21,12,LIGHTWIRE LIMITED,648
2025-07-21,13,NZME RADIO LIMITED,602
2025-07-21,14,POWERCO LIMITED,590
2025-07-21,15,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,582
2025-07-21,16,EVERY PERSON,574
2025-07-21,17,ISO LIMITED,552
2025-07-21,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-07-21,19,KIWIRAIL LTD,533
2025-07-21,20,SPACE OPERATIONS NEW ZEALAND LIMITED,504
2025-07-21,21,MEDIAWORKS RADIO LIMITED,499
2025-07-21,22,DEPARTMENT OF CONSERVATION,467
2025-07-21,23,FIRE AND EMERGENCY NEW ZEALAND,445
2025-07-21,24,TAIT SYSTEMS NZ LIMITED,433
2025-07-21,25,ASHLEY COMMUNICATIONS LIMITED,428
2025-07-22,1,ONE NEW ZEALAND GROUP LIMITED,10174
2025-07-22,2,SPARK NEW ZEALAND TRADING LIMITED,8855
2025-07-22,3,TWO DEGREES NETWORKS LIMITED,8648
2025-07-22,4,CHORUS NEW ZEALAND LIMITED,3636
2025-07-22,5,EONFIBRE LIMITED,2022
2025-07-22,6,VITAL LIMITED,1954
2025-07-22,7,KIWIRAIL,1820
2025-07-22,8,KORDIA LIMITED,1514
2025-07-22,9,RURAL CONNECTIVITY GROUP LIMITED,1352
2025-07-22,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-07-22,11,ENTAIN NEW ZEALAND LIMITED,657
2025-07-22,12,LIGHTWIRE LIMITED,648
2025-07-22,13,NZME RADIO LIMITED,602
2025-07-22,14,POWERCO LIMITED,590
2025-07-22,15,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,582
2025-07-22,16,EVERY PERSON,574
2025-07-22,17,ISO LIMITED,552
2025-07-22,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-07-22,19,KIWIRAIL LTD,533
2025-07-22,20,SPACE OPERATIONS NEW ZEALAND LIMITED,504
2025-07-22,21,MEDIAWORKS RADIO LIMITED,499
2025-07-22,22,DEPARTMENT OF CONSERVATION,467
2025-07-22,23,FIRE AND EMERGENCY NEW ZEALAND,445
2025-07-22,24,TAIT SYSTEMS NZ LIMITED,433
2025-07-22,25,ASHLEY COMMUNICATIONS LIMITED,428
2025-07-24,1,ONE NEW ZEALAND GROUP LIMITED,10174
2025-07-24,2,SPARK NEW ZEALAND TRADING LIMITED,8855
2025-07-24,3,TWO DEGREES NETWORKS LIMITED,8648
2025-07-24,4,CHORUS NEW ZEALAND LIMITED,3636
2025-07-24,5,EONFIBRE LIMITED,2034
2025-07-24,6,VITAL LIMITED,1954
2025-07-24,7,KIWIRAIL,1820
2025-07-24,8,KORDIA LIMITED,1522
2025-07-24,9,RURAL CONNECTIVITY GROUP LIMITED,1353
2025-07-24,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-07-24,11,ENTAIN NEW ZEALAND LIMITED,657
2025-07-24,12,LIGHTWIRE LIMITED,648
2025-07-24,13,NZME RADIO LIMITED,602
2025-07-24,14,POWERCO LIMITED,590
2025-07-24,15,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,582
2025-07-24,16,EVERY PERSON,574
2025-07-24,17,ISO LIMITED,552
2025-07-24,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-07-24,19,KIWIRAIL LTD,533
2025-07-24,20,SPACE OPERATIONS NEW ZEALAND LIMITED,504
2025-07-24,21,MEDIAWORKS RADIO LIMITED,491
2025-07-24,22,DEPARTMENT OF CONSERVATION,467
2025-07-24,23,FIRE AND EMERGENCY NEW ZEALAND,460
2025-07-24,24,TAIT SYSTEMS NZ LIMITED,433
2025-07-24,25,ASHLEY COMMUNICATIONS LIMITED,428
2025-07-25,1,ONE NEW ZEALAND GROUP LIMITED,10174
2025-07-25,2,SPARK NEW ZEALAND TRADING LIMITED,8864
2025-07-25,3,TWO DEGREES NETWORKS LIMITED,8648
2025-07-25,4,CHORUS NEW ZEALAND LIMITED,3636
2025-07-25,5,EONFIBRE LIMITED,2034
2025-07-25,6,VITAL LIMITED,1954
2025-07-25,7,KIWIRAIL,1820
2025-07-25,8,KORDIA LIMITED,1522
2025-07-25,9,RURAL CONNECTIVITY GROUP LIMITED,1361
2025-07-25,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-07-25,11,ENTAIN NEW ZEALAND LIMITED,657
2025-07-25,12,LIGHTWIRE LIMITED,648
2025-07-25,13,NZME RADIO LIMITED,602
2025-07-25,14,POWERCO LIMITED,590
2025-07-25,15,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,582
2025-07-25,16,EVERY PERSON,574
2025-07-25,17,ISO LIMITED,552
2025-07-25,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-07-25,19,KIWIRAIL LTD,533
2025-07-25,20,SPACE OPERATIONS NEW ZEALAND LIMITED,504
2025-07-25,21,MEDIAWORKS RADIO LIMITED,491
2025-07-25,22,DEPARTMENT OF CONSERVATION,467
2025-07-25,23,FIRE AND EMERGENCY NEW ZEALAND,460
2025-07-25,24,TAIT SYSTEMS NZ LIMITED,433
2025-07-25,25,ASHLEY COMMUNICATIONS LIMITED,428
2025-07-30,1,ONE NEW ZEALAND GROUP LIMITED,10175
2025-07-30,2,SPARK NEW ZEALAND TRADING LIMITED,8864
2025-07-30,3,TWO DEGREES NETWORKS LIMITED,8643
2025-07-30,4,CHORUS NEW ZEALAND LIMITED,3636
2025-07-30,5,EONFIBRE LIMITED,2034
2025-07-30,6,VITAL LIMITED,1982
2025-07-30,7,KIWIRAIL,1820
2025-07-30,8,KORDIA LIMITED,1522
2025-07-30,9,RURAL CONNECTIVITY GROUP LIMITED,1361
2025-07-30,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-07-30,11,ENTAIN NEW ZEALAND LIMITED,657
2025-07-30,12,LIGHTWIRE LIMITED,648
2025-07-30,13,NZME RADIO LIMITED,602
2025-07-30,14,POWERCO LIMITED,590
2025-07-30,15,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,582
2025-07-30,16,EVERY PERSON,574
2025-07-30,17,ISO LIMITED,552
2025-07-30,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-07-30,19,KIWIRAIL LTD,533
2025-07-30,20,SPACE OPERATIONS NEW ZEALAND LIMITED,504
2025-07-30,21,MEDIAWORKS RADIO LIMITED,491
2025-07-30,22,DEPARTMENT OF CONSERVATION,467
2025-07-30,23,FIRE AND EMERGENCY NEW ZEALAND,460
2025-07-30,24,TAIT SYSTEMS NZ LIMITED,433
2025-07-30,25,ASHLEY COMMUNICATIONS LIMITED,428
2025-07-31,1,ONE NEW ZEALAND GROUP LIMITED,10175
2025-07-31,2,SPARK NEW ZEALAND TRADING LIMITED,8864
2025-07-31,3,TWO DEGREES NETWORKS LIMITED,8639
2025-07-31,4,CHORUS NEW ZEALAND LIMITED,3636
2025-07-31,5,EONFIBRE LIMITED,2034
2025-07-31,6,VITAL LIMITED,1982
2025-07-31,7,KIWIRAIL,1820
2025-07-31,8,KORDIA LIMITED,1522
2025-07-31,9,RURAL CONNECTIVITY GROUP LIMITED,1361
2025-07-31,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-07-31,11,ENTAIN NEW ZEALAND LIMITED,657
2025-07-31,12,LIGHTWIRE LIMITED,648
2025-07-31,13,NZME RADIO LIMITED,602
2025-07-31,14,POWERCO LIMITED,590
2025-07-31,15,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,582
2025-07-31,16,EVERY PERSON,574
2025-07-31,17,ISO LIMITED,552
2025-07-31,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-07-31,19,KIWIRAIL LTD,533
2025-07-31,20,SPACE OPERATIONS NEW ZEALAND LIMITED,504
2025-07-31,21,MEDIAWORKS RADIO LIMITED,491
2025-07-31,22,DEPARTMENT OF CONSERVATION,467
2025-07-31,23,FIRE AND EMERGENCY NEW ZEALAND,460
2025-07-31,24,TAIT SYSTEMS NZ LIMITED,433
2025-07-31,25,ASHLEY COMMUNICATIONS LIMITED,428
2025-08-01,1,ONE NEW ZEALAND GROUP LIMITED,10175
2025-08-01,2,SPARK NEW ZEALAND TRADING LIMITED,8864
2025-08-01,3,TWO DEGREES NETWORKS LIMITED,8639
2025-08-01,4,CHORUS NEW ZEALAND LIMITED,3636
2025-08-01,5,EONFIBRE LIMITED,2018
2025-08-01,6,VITAL LIMITED,1982
2025-08-01,7,KIWIRAIL,1820
2025-08-01,8,KORDIA LIMITED,1522
2025-08-01,9,RURAL CONNECTIVITY GROUP LIMITED,1361
2025-08-01,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-08-01,11,ENTAIN NEW ZEALAND LIMITED,657
2025-08-01,12,LIGHTWIRE LIMITED,648
2025-08-01,13,NZME RADIO LIMITED,602
2025-08-01,14,POWERCO LIMITED,590
2025-08-01,15,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,582
2025-08-01,16,EVERY PERSON,574
2025-08-01,17,ISO LIMITED,552
2025-08-01,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-08-01,19,KIWIRAIL LTD,533
2025-08-01,20,SPACE OPERATIONS NEW ZEALAND LIMITED,504
2025-08-01,21,MEDIAWORKS RADIO LIMITED,491
2025-08-01,22,DEPARTMENT OF CONSERVATION,467
2025-08-01,23,FIRE AND EMERGENCY NEW ZEALAND,460
2025-08-01,24,TAIT SYSTEMS NZ LIMITED,433
2025-08-01,25,ASHLEY COMMUNICATIONS LIMITED,428
2025-08-04,1,ONE NEW ZEALAND GROUP LIMITED,10175
2025-08-04,2,SPARK NEW ZEALAND TRADING LIMITED,8864
2025-08-04,3,TWO DEGREES NETWORKS LIMITED,8639
2025-08-04,4,CHORUS NEW ZEALAND LIMITED,3636
2025-08-04,5,EONFIBRE LIMITED,2018
2025-08-04,6,VITAL LIMITED,1982
2025-08-04,7,KIWIRAIL,1820
2025-08-04,8,KORDIA LIMITED,1522
2025-08-04,9,RURAL CONNECTIVITY GROUP LIMITED,1361
2025-08-04,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-08-04,11,ENTAIN NEW ZEALAND LIMITED,657
2025-08-04,12,LIGHTWIRE LIMITED,648
2025-08-04,13,NZME RADIO LIMITED,602
2025-08-04,14,POWERCO LIMITED,590
2025-08-04,15,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,582
2025-08-04,16,EVERY PERSON,574
2025-08-04,17,ISO LIMITED,552
2025-08-04,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-08-04,19,KIWIRAIL LTD,533
2025-08-04,20,SPACE OPERATIONS NEW ZEALAND LIMITED,504
2025-08-04,21,MEDIAWORKS RADIO LIMITED,491
2025-08-04,22,DEPARTMENT OF CONSERVATION,465
2025-08-04,23,FIRE AND EMERGENCY NEW ZEALAND,460
2025-08-04,24,TAIT SYSTEMS NZ LIMITED,433
2025-08-04,25,ASHLEY COMMUNICATIONS LIMITED,428
2025-08-05,1,ONE NEW ZEALAND GROUP LIMITED,10175
2025-08-05,2,SPARK NEW ZEALAND TRADING LIMITED,8864
2025-08-05,3,TWO DEGREES NETWORKS LIMITED,8643
2025-08-05,4,CHORUS NEW ZEALAND LIMITED,3636
2025-08-05,5,EONFIBRE LIMITED,2018
2025-08-05,6,VITAL LIMITED,1982
2025-08-05,7,KIWIRAIL,1820
2025-08-05,8,KORDIA LIMITED,1522
2025-08-05,9,RURAL CONNECTIVITY GROUP LIMITED,1361
2025-08-05,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-08-05,11,ENTAIN NEW ZEALAND LIMITED,657
2025-08-05,12,LIGHTWIRE LIMITED,648
2025-08-05,13,NZME RADIO LIMITED,602
2025-08-05,14,POWERCO LIMITED,590
2025-08-05,15,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,582
2025-08-05,16,EVERY PERSON,574
2025-08-05,17,ISO LIMITED,552
2025-08-05,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-08-05,19,KIWIRAIL LTD,533
2025-08-05,20,SPACE OPERATIONS NEW ZEALAND LIMITED,504
2025-08-05,21,MEDIAWORKS RADIO LIMITED,491
2025-08-05,22,DEPARTMENT OF CONSERVATION,465
2025-08-05,23,FIRE AND EMERGENCY NEW ZEALAND,460
2025-08-05,24,TAIT SYSTEMS NZ LIMITED,433
2025-08-05,25,ASHLEY COMMUNICATIONS LIMITED,428
2025-08-06,1,ONE NEW ZEALAND GROUP LIMITED,10175
2025-08-06,2,SPARK NEW ZEALAND TRADING LIMITED,8864
2025-08-06,3,TWO DEGREES NETWORKS LIMITED,8643
2025-08-06,4,CHORUS NEW ZEALAND LIMITED,3636
2025-08-06,5,EONFIBRE LIMITED,2018
2025-08-06,6,VITAL LIMITED,1982
2025-08-06,7,KIWIRAIL,1820
2025-08-06,8,KORDIA LIMITED,1522
2025-08-06,9,RURAL CONNECTIVITY GROUP LIMITED,1361
2025-08-06,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-08-06,11,ENTAIN NEW ZEALAND LIMITED,657
2025-08-06,12,LIGHTWIRE LIMITED,648
2025-08-06,13,NZME RADIO LIMITED,601
2025-08-06,14,POWERCO LIMITED,590
2025-08-06,15,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,582
2025-08-06,16,EVERY PERSON,574
2025-08-06,17,ISO LIMITED,552
2025-08-06,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-08-06,19,KIWIRAIL LTD,533
2025-08-06,20,SPACE OPERATIONS NEW ZEALAND LIMITED,504
2025-08-06,21,MEDIAWORKS RADIO LIMITED,491
2025-08-06,22,DEPARTMENT OF CONSERVATION,465
2025-08-06,23,FIRE AND EMERGENCY NEW ZEALAND,460
2025-08-06,24,TAIT SYSTEMS NZ LIMITED,433
2025-08-06,25,ASHLEY COMMUNICATIONS LIMITED,428
2025-08-07,1,ONE NEW ZEALAND GROUP LIMITED,10175
2025-08-07,2,SPARK NEW ZEALAND TRADING LIMITED,8864
2025-08-07,3,TWO DEGREES NETWORKS LIMITED,8655
2025-08-07,4,CHORUS NEW ZEALAND LIMITED,3636
2025-08-07,5,EONFIBRE LIMITED,2019
2025-08-07,6,VITAL LIMITED,1981
2025-08-07,7,KIWIRAIL,1820
2025-08-07,8,KORDIA LIMITED,1521
2025-08-07,9,RURAL CONNECTIVITY GROUP LIMITED,1367
2025-08-07,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-08-07,11,ENTAIN NEW ZEALAND LIMITED,657
2025-08-07,12,LIGHTWIRE LIMITED,648
2025-08-07,13,NZME RADIO LIMITED,601
2025-08-07,14,POWERCO LIMITED,590
2025-08-07,15,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,582
2025-08-07,16,EVERY PERSON,574
2025-08-07,17,ISO LIMITED,552
2025-08-07,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-08-07,19,KIWIRAIL LTD,533
2025-08-07,20,SPACE OPERATIONS NEW ZEALAND LIMITED,504
2025-08-07,21,MEDIAWORKS RADIO LIMITED,491
2025-08-07,22,DEPARTMENT OF CONSERVATION,465
2025-08-07,23,FIRE AND EMERGENCY NEW ZEALAND,460
2025-08-07,24,TAIT SYSTEMS NZ LIMITED,433
2025-08-07,25,ASHLEY COMMUNICATIONS LIMITED,428
2025-08-10,1,ONE NEW ZEALAND GROUP LIMITED,10175
2025-08-10,2,SPARK NEW ZEALAND TRADING LIMITED,8864
2025-08-10,3,TWO DEGREES NETWORKS LIMITED,8655
2025-08-10,4,CHORUS NEW ZEALAND LIMITED,3636
2025-08-10,5,EONFIBRE LIMITED,2019
2025-08-10,6,VITAL LIMITED,1981
2025-08-10,7,KIWIRAIL,1820
2025-08-10,8,KORDIA LIMITED,1523
2025-08-10,9,RURAL CONNECTIVITY GROUP LIMITED,1367
2025-08-10,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-08-10,11,ENTAIN NEW ZEALAND LIMITED,657
2025-08-10,12,LIGHTWIRE LIMITED,648
2025-08-10,13,NZME RADIO LIMITED,601
2025-08-10,14,POWERCO LIMITED,590
2025-08-10,15,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,582
2025-08-10,16,EVERY PERSON,574
2025-08-10,17,ISO LIMITED,552
2025-08-10,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-08-10,19,KIWIRAIL LTD,533
2025-08-10,20,SPACE OPERATIONS NEW ZEALAND LIMITED,504
2025-08-10,21,MEDIAWORKS RADIO LIMITED,491
2025-08-10,22,DEPARTMENT OF CONSERVATION,465
2025-08-10,23,FIRE AND EMERGENCY NEW ZEALAND,460
2025-08-10,24,TAIT SYSTEMS NZ LIMITED,433
2025-08-10,25,ASHLEY COMMUNICATIONS LIMITED,428
2025-08-11,1,ONE NEW ZEALAND GROUP LIMITED,10175
2025-08-11,2,SPARK NEW ZEALAND TRADING LIMITED,8864
2025-08-11,3,TWO DEGREES NETWORKS LIMITED,8655
2025-08-11,4,CHORUS NEW ZEALAND LIMITED,3636
2025-08-11,5,EONFIBRE LIMITED,2023
2025-08-11,6,VITAL LIMITED,1981
2025-08-11,7,KIWIRAIL,1820
2025-08-11,8,KORDIA LIMITED,1523
2025-08-11,9,RURAL CONNECTIVITY GROUP LIMITED,1367
2025-08-11,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-08-11,11,ENTAIN NEW ZEALAND LIMITED,657
2025-08-11,12,LIGHTWIRE LIMITED,648
2025-08-11,13,NZME RADIO LIMITED,601
2025-08-11,14,POWERCO LIMITED,590
2025-08-11,15,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,582
2025-08-11,16,EVERY PERSON,574
2025-08-11,17,ISO LIMITED,552
2025-08-11,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-08-11,19,KIWIRAIL LTD,533
2025-08-11,20,SPACE OPERATIONS NEW ZEALAND LIMITED,504
2025-08-11,21,MEDIAWORKS RADIO LIMITED,491
2025-08-11,22,DEPARTMENT OF CONSERVATION,464
2025-08-11,23,FIRE AND EMERGENCY NEW ZEALAND,460
2025-08-11,24,TAIT SYSTEMS NZ LIMITED,433
2025-08-11,25,ASHLEY COMMUNICATIONS LIMITED,428
2025-08-12,1,ONE NEW ZEALAND GROUP LIMITED,10175
2025-08-12,2,SPARK NEW ZEALAND TRADING LIMITED,8864
2025-08-12,3,TWO DEGREES NETWORKS LIMITED,8655
2025-08-12,4,CHORUS NEW ZEALAND LIMITED,3636
2025-08-12,5,EONFIBRE LIMITED,2023
2025-08-12,6,VITAL LIMITED,1981
2025-08-12,7,KIWIRAIL,1820
2025-08-12,8,KORDIA LIMITED,1523
2025-08-12,9,RURAL CONNECTIVITY GROUP LIMITED,1367
2025-08-12,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-08-12,11,ENTAIN NEW ZEALAND LIMITED,657
2025-08-12,12,LIGHTWIRE LIMITED,648
2025-08-12,13,NZME RADIO LIMITED,601
2025-08-12,14,POWERCO LIMITED,590
2025-08-12,15,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,580
2025-08-12,16,EVERY PERSON,574
2025-08-12,17,ISO LIMITED,552
2025-08-12,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-08-12,19,KIWIRAIL LTD,533
2025-08-12,20,SPACE OPERATIONS NEW ZEALAND LIMITED,504
2025-08-12,21,MEDIAWORKS RADIO LIMITED,491
2025-08-12,22,DEPARTMENT OF CONSERVATION,464
2025-08-12,23,FIRE AND EMERGENCY NEW ZEALAND,460
2025-08-12,24,TAIT SYSTEMS NZ LIMITED,433
2025-08-12,25,ASHLEY COMMUNICATIONS LIMITED,428
2025-08-13,1,ONE NEW ZEALAND GROUP LIMITED,10175
2025-08-13,2,SPARK NEW ZEALAND TRADING LIMITED,8864
2025-08-13,3,TWO DEGREES NETWORKS LIMITED,8659
2025-08-13,4,CHORUS NEW ZEALAND LIMITED,3636
2025-08-13,5,EONFIBRE LIMITED,2023
2025-08-13,6,VITAL LIMITED,1981
2025-08-13,7,KIWIRAIL,1820
2025-08-13,8,KORDIA LIMITED,1523
2025-08-13,9,RURAL CONNECTIVITY GROUP LIMITED,1367
2025-08-13,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-08-13,11,ENTAIN NEW ZEALAND LIMITED,657
2025-08-13,12,LIGHTWIRE LIMITED,648
2025-08-13,13,NZME RADIO LIMITED,601
2025-08-13,14,POWERCO LIMITED,590
2025-08-13,15,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,580
2025-08-13,16,EVERY PERSON,574
2025-08-13,17,ISO LIMITED,552
2025-08-13,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-08-13,19,KIWIRAIL LTD,533
2025-08-13,20,SPACE OPERATIONS NEW ZEALAND LIMITED,504
2025-08-13,21,MEDIAWORKS RADIO LIMITED,491
2025-08-13,22,DEPARTMENT OF CONSERVATION,464
2025-08-13,23,FIRE AND EMERGENCY NEW ZEALAND,460
2025-08-13,24,TAIT SYSTEMS NZ LIMITED,433
2025-08-13,25,ASHLEY COMMUNICATIONS LIMITED,428
2025-08-14,1,ONE NEW ZEALAND GROUP LIMITED,10175
2025-08-14,2,SPARK NEW ZEALAND TRADING LIMITED,8864
2025-08-14,3,TWO DEGREES NETWORKS LIMITED,8670
2025-08-14,4,CHORUS NEW ZEALAND LIMITED,3636
2025-08-14,5,EONFIBRE LIMITED,2023
2025-08-14,6,VITAL LIMITED,1981
2025-08-14,7,KIWIRAIL,1820
2025-08-14,8,KORDIA LIMITED,1523
2025-08-14,9,RURAL CONNECTIVITY GROUP LIMITED,1367
2025-08-14,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-08-14,11,ENTAIN NEW ZEALAND LIMITED,657
2025-08-14,12,LIGHTWIRE LIMITED,648
2025-08-14,13,NZME RADIO LIMITED,601
2025-08-14,14,POWERCO LIMITED,590
2025-08-14,15,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,580
2025-08-14,16,EVERY PERSON,574
2025-08-14,17,ISO LIMITED,552
2025-08-14,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-08-14,19,KIWIRAIL LTD,533
2025-08-14,20,SPACE OPERATIONS NEW ZEALAND LIMITED,504
2025-08-14,21,MEDIAWORKS RADIO LIMITED,491
2025-08-14,22,DEPARTMENT OF CONSERVATION,464
2025-08-14,23,FIRE AND EMERGENCY NEW ZEALAND,459
2025-08-14,24,TAIT SYSTEMS NZ LIMITED,433
2025-08-14,25,ASHLEY COMMUNICATIONS LIMITED,428
2025-08-15,1,ONE NEW ZEALAND GROUP LIMITED,10175
2025-08-15,2,SPARK NEW ZEALAND TRADING LIMITED,8864
2025-08-15,3,TWO DEGREES NETWORKS LIMITED,8675
2025-08-15,4,CHORUS NEW ZEALAND LIMITED,3636
2025-08-15,5,EONFIBRE LIMITED,2023
2025-08-15,6,VITAL LIMITED,1981
2025-08-15,7,KIWIRAIL,1820
2025-08-15,8,KORDIA LIMITED,1523
2025-08-15,9,RURAL CONNECTIVITY GROUP LIMITED,1367
2025-08-15,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-08-15,11,ENTAIN NEW ZEALAND LIMITED,657
2025-08-15,12,LIGHTWIRE LIMITED,648
2025-08-15,13,NZME RADIO LIMITED,601
2025-08-15,14,POWERCO LIMITED,590
2025-08-15,15,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,580
2025-08-15,16,EVERY PERSON,574
2025-08-15,17,ISO LIMITED,552
2025-08-15,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-08-15,19,KIWIRAIL LTD,533
2025-08-15,20,SPACE OPERATIONS NEW ZEALAND LIMITED,504
2025-08-15,21,MEDIAWORKS RADIO LIMITED,491
2025-08-15,22,DEPARTMENT OF CONSERVATION,464
2025-08-15,23,FIRE AND EMERGENCY NEW ZEALAND,459
2025-08-15,24,TAIT SYSTEMS NZ LIMITED,433
2025-08-15,25,ASHLEY COMMUNICATIONS LIMITED,428
2025-08-18,1,ONE NEW ZEALAND GROUP LIMITED,10175
2025-08-18,2,SPARK NEW ZEALAND TRADING LIMITED,8864
2025-08-18,3,TWO DEGREES NETWORKS LIMITED,8675
2025-08-18,4,CHORUS NEW ZEALAND LIMITED,3636
2025-08-18,5,EONFIBRE LIMITED,2023
2025-08-18,6,VITAL LIMITED,1981
2025-08-18,7,KIWIRAIL,1820
2025-08-18,8,KORDIA LIMITED,1523
2025-08-18,9,RURAL CONNECTIVITY GROUP LIMITED,1367
2025-08-18,10,NZ DEFENCE FORCE HEADQUARTERS,814
2025-08-18,11,ENTAIN NEW ZEALAND LIMITED,657
2025-08-18,12,LIGHTWIRE LIMITED,640
2025-08-18,13,NZME RADIO LIMITED,601
2025-08-18,14,POWERCO LIMITED,590
2025-08-18,15,AIRWAYS CORPORATION OF NEW ZEALAND LIMITED,580
2025-08-18,16,EVERY PERSON,574
2025-08-18,17,ISO LIMITED,552
2025-08-18,18,NEP BROADCAST SERVICES NEW ZEALAND LIMITED,547
2025-08-18,19,KIWIRAIL LTD,533
2025-08-18,20,SPACE OPERATIONS NEW ZEALAND LIMITED,504
2025-08-18,21,MEDIAWORKS RADIO LIMITED,491
2025-08-18,22,DEPARTMENT OF CONSERVATION,464
2025-08-18,23,FIRE AND EMERGENCY NEW ZEALAND,459
2025-08-18,24,TAIT SYSTEMS NZ LIMITED,433
2025-08-18,25,ASHLEY COMMUNICATIONS LIMITED,428
